ZIP	Name	Rate
550010001	State, Washington Transit	7.375
550039999	State, Washington Transit	7.375
550050001	State, Anoka Transit	7.125
550059380	State, Anoka Transit	7.125
550059401	State, Isanti County	7.375
550059402	State, Anoka Transit	7.125
550059405	State, Anoka Transit	7.125
550059406	State, Isanti County	7.375
550059409	State, Isanti County	7.375
550059410	State, Anoka Transit	7.125
550059411	State, Isanti County	7.375
550059412	State, Anoka Transit	7.125
550059415	State, Anoka Transit	7.125
550059416	State, Isanti County	7.375
550059417	State, Isanti County	7.375
550059418	State, Anoka Transit	7.125
550059999	State, Anoka Transit	7.125
550060001	State, Isanti County	7.375
550062202	State, Isanti County	7.375
550062600	State, Pine	7.375
550062774	State, Pine	7.375
550062775	State, Kanabec County Transit	7.375
550062776	State, Pine	7.375
550062782	State, Pine	7.375
550062783	State, Kanabec County Transit	7.375
550062784	State, Pine	7.375
550062788	State, Pine	7.375
550063000	State, Isanti County	7.375
550063342	State, Isanti County	7.375
550063343	State, Kanabec County Transit	7.375
550063344	State, Isanti County	7.375
550063357	State, Isanti County	7.375
550063358	State, Kanabec County Transit	7.375
550063361	State, Kanabec County Transit	7.375
550063362	State, Isanti County	7.375
550063555	State, Isanti County	7.375
550063600	State, Pine	7.375
550063601	State, Chisago	7.375
550063641	State, Chisago	7.375
550063642	State, Isanti County	7.375
550063643	State, Isanti County	7.375
550063644	State, Chisago	7.375
550063645	State, Pine	7.375
550063646	State, Kanabec County Transit	7.375
550063647	State, Kanabec County Transit	7.375
550063648	State, Pine	7.375
550063649	State, Chisago	7.375
550063650	State, Chisago	7.375
550063651	State, Pine	7.375
550063653	State, Pine	7.375
550063654	State, Isanti County	7.375
550063655	State, Chisago	7.375
550063657	State, Chisago	7.375
550063658	State, Isanti County	7.375
550063659	State, Chisago	7.375
550063700	State, Kanabec County Transit	7.375
550063767	State, Kanabec County Transit	7.375
550063768	State, Isanti County	7.375
550063769	State, Kanabec County Transit	7.375
550063781	State, Kanabec County Transit	7.375
550063782	State	6.875
550063783	State, Kanabec County Transit	7.375
550063789	State, Kanabec County Transit	7.375
550063790	State, Isanti County	7.375
550063791	State, Kanabec County Transit	7.375
550063792	State, Isanti County	7.375
550063801	State, Isanti County	7.375
550063802	State, Kanabec County Transit	7.375
550063803	State, Kanabec County Transit	7.375
550064100	State, Isanti County	7.375
550064400	State, Pine	7.375
550064401	State, Isanti County	7.375
550064406	State, Isanti County	7.375
550064500	State, Pine	7.375
550064501	State, Pine	7.375
550064502	State, Isanti County	7.375
550064503	State, Pine	7.375
550064700	State, Isanti County	7.375
550069999	State, Isanti County	7.375
550070001	State, Pine	7.375
550071110	State, Pine	7.375
550072000	State, Kanabec County Transit	7.375
550072100	State, Pine	7.375
550072600	State, Pine	7.375
550074000	State, Kanabec County Transit	7.375
550074500	State, Kanabec County Transit	7.375
550074600	State, Pine	7.375
550074601	State, Kanabec County Transit	7.375
550074668	State, Kanabec County Transit	7.375
550074669	State, Pine	7.375
550074670	State, Kanabec County Transit	7.375
550074684	State, Kanabec County Transit	7.375
550074685	State, Pine	7.375
550074687	State, Pine	7.375
550074688	State, Kanabec County Transit	7.375
550074689	State, Pine	7.375
550074690	State, Kanabec County Transit	7.375
550074700	State, Pine	7.375
550074748	State, Pine	7.375
550074749	State, Kanabec County Transit	7.375
550074750	State, Kanabec County Transit	7.375
550074751	State, Pine	7.375
550074756	State, Pine	7.375
550074757	State, Kanabec County Transit	7.375
550074758	State, Pine	7.375
550075000	State, Pine	7.375
550075600	State, Kanabec County Transit	7.375
550075736	State, Kanabec County Transit	7.375
550075737	State, Pine	7.375
550075738	State, Kanabec County Transit	7.375
550075739	State, Kanabec County Transit	7.375
550075740	State, Pine	7.375
550075741	State, Pine	7.375
550075742	State, Kanabec County Transit	7.375
550075743	State, Kanabec County Transit	7.375
550075744	State, Pine	7.375
550075748	State, Kanabec County Transit	7.375
550075749	State, Pine	7.375
550075750	State, Kanabec County Transit	7.375
550075780	State, Kanabec County Transit	7.375
550079500	State, Pine	7.375
550079999	State, Pine	7.375
550080001	State, Isanti County, Cambridge	7.875
550081142	State, Isanti County, Cambridge	7.875
550081143	State, Isanti County	7.375
550081145	State, Isanti County	7.375
550081150	State, Isanti County, Cambridge	7.875
550081158	State, Isanti County, Cambridge	7.875
550081159	State, Isanti County	7.375
550081160	State, Isanti County, Cambridge	7.875
550081234	State, Isanti County, Cambridge	7.875
550081235	State, Isanti County	7.375
550081237	State, Isanti County	7.375
550081238	State, Isanti County, Cambridge	7.875
550081287	State, Isanti County, Cambridge	7.875
550081288	State, Isanti County	7.375
550081289	State, Isanti County, Cambridge	7.875
550081322	State, Isanti County, Cambridge	7.875
550081323	State, Isanti County	7.375
550081335	State, Isanti County, Cambridge	7.875
550081376	State, Isanti County, Cambridge	7.875
550081377	State, Isanti County	7.375
550081389	State, Isanti County	7.375
550081392	State, Isanti County, Cambridge	7.875
550082012	State, Isanti County, Cambridge	7.875
550082013	State, Isanti County	7.375
550082014	State, Isanti County, Cambridge	7.875
550082015	State, Isanti County	7.375
550082016	State, Isanti County, Cambridge	7.875
550082225	State, Isanti County, Cambridge	7.875
550082226	State, Isanti County	7.375
550082227	State, Isanti County, Cambridge	7.875
550082228	State, Isanti County, Cambridge	7.875
550082229	State, Isanti County	7.375
550082230	State, Isanti County, Cambridge	7.875
550082244	State, Isanti County, Cambridge	7.875
550082245	State, Isanti County	7.375
550082246	State, Isanti County, Cambridge	7.875
550082636	State, Isanti County, Cambridge	7.875
550082637	State, Isanti County	7.375
550082638	State, Isanti County, Cambridge	7.875
550082652	State, Isanti County, Cambridge	7.875
550082653	State, Isanti County	7.375
550082656	State, Isanti County, Cambridge	7.875
550082701	State, Isanti County, Cambridge	7.875
550082702	State, Isanti County	7.375
550082703	State, Isanti County	7.375
550082704	State, Isanti County, Cambridge	7.875
550082707	State, Isanti County, Cambridge	7.875
550082800	State, Isanti County	7.375
550082813	State, Isanti County	7.375
550082814	State, Isanti County, Cambridge	7.875
550082815	State, Isanti County, Cambridge	7.875
550082816	State, Isanti County	7.375
550082817	State, Isanti County, Cambridge	7.875
550083000	State, Isanti County	7.375
550083300	State, Isanti County, Cambridge	7.875
550083301	State, Isanti County, Cambridge	7.875
550083500	State, Isanti County	7.375
550083509	State, Isanti County	7.375
550083510	State, Isanti County, Cambridge	7.875
550083511	State, Isanti County	7.375
550083703	State, Isanti County	7.375
550083705	State, Isanti County, Cambridge	7.875
550083709	State, Isanti County, Cambridge	7.875
550083710	State, Isanti County	7.375
550083711	State, Isanti County	7.375
550083712	State, Isanti County, Cambridge	7.875
